Predator,Prey,PredIndex,PreyIndex,Interacts,Mean
"Toothed whales","Fish larvae",2,50,0,0
"Toothed whales","Carnivorous zooplankton",2,51,0,0
"Toothed whales","Herbivorous & Omnivorous zooplankton (copepods)",2,52,0,0
"Toothed whales","Gelatinous zooplankton",2,53,0,0
"Toothed whales","Large crabs",2,54,0,0
"Toothed whales","Nephrops",2,55,0,0
"Toothed whales","Epifaunal macrobenthos (mobile grazers)",2,56,0,0
"Toothed whales","Infaunal macrobenthos",2,57,0,0
"Toothed whales","Shrimp",2,58,0,0
"Toothed whales","Small mobile epifauna (swarming crustaceans)",2,59,0,0
"Toothed whales","Small infauna (polychaetes)",2,60,0,0
"Toothed whales","Sessile epifauna",2,61,0,0
"Toothed whales","Meiofauna",2,62,0,0
"Toothed whales","Benthic microflora (incl. Bacteria, protozoa))",2,63,0,0
"Toothed whales","Planktonic microflora (incl. Bacteria, protozoa)",2,64,0,0
"Toothed whales","Phytoplankton",2,65,0,0
"Toothed whales","Detritus - DOM -water column",2,66,0,0
"Toothed whales","Detritus - POM - sediment",2,67,0,0
"Toothed whales","Discards",2,68,0,0
"Seals",Imports, 3,0,0,0
"Seals","Baleen whales",3,1,0,0
"Seals","Toothed whales",3,2,0,0
"Seals","Seals",3,3,0,0
"Seals","Seabirds",3,4,0,0
"Seals","Juvenile sharks",3,5,0,0
"Seals","Spurdog",3,6,0,0
"Seals","Large piscivorous sharks",3,7,0,0
"Seals","Small sharks",3,8,0,0
"Seals","Juvenile rays",3,9,0,0
"Seals","Starry ray + others",3,10,0,0
"Seals","Thornback & Spotted ray",3,11,0,0
"Seals","Skate + cuckoo ray",3,12,0,0
"Seals","Juvenile Cod(0-2, 0-40cm)",3,13,1,0.03160289
"Seals","Cod (adult)",3,14,1,0.06360583
"Seals","Juvenile Whiting (0-1, 0-20cm)",3,15,1,0.004300394
"Seals","Whiting (adult)",3,16,1,0.06890631
"Seals","Juvenile Haddock (0-1, 0-20cm)",3,17,1,0.0003000275
"Seals","Haddock (adult)",3,18,1,0.01180108
"Seals","Juvenile Saithe (0-3, 0-40cm)",3,19,1,0.003300302
"Seals","Saithe (adult)",3,20,1,0.03130287
"Seals","Hake",3,21,0,0
"Seals","Blue whiting",3,22,0,0
"Seals","Norway pout",3,23,0,0
"Seals","Other gadoids (large)",3,24,1,0.06970639
"Seals","Other gadoids (small)",3,25,1,0.02780255
"Seals","Monkfish",3,26,1,0.01040095
"Seals","Gurnards",3,27,0,0
"Seals","Herring (juvenile 0, 1)",3,28,1,8.600788E-06
"Seals","Herring (adult)",3,29,1,0.006100558
"Seals","Sprat",3,30,1,0.002800256
"Seals","Mackerel",3,31,0,0
"Seals","Horse mackerel",3,32,1,0.01240114
"Seals","Sandeels",3,33,1,0.3013276
"Seals","Plaice",3,34,1,0.06150563
"Seals","Dab",3,35,1,0.04940452
"Seals","Long-rough dab",3,36,1,0.01060097
"Seals","Flounder",3,37,1,0.01140104
"Seals","Sole",3,38,1,0.03670336
"Seals","Lemon sole",3,39,1,0.0240022
"Seals","Witch",3,40,1,0.02500229
"Seals","Turbot and brill",3,41,1,0.01060097
"Seals","Megrim",3,42,1,0.01100101
"Seals","Halibut",3,43,0,0
"Seals","Dragonets",3,44,1,0.01060097
"Seals","Catfish (Wolf-fish)",3,45,0,0
"Seals","Large demersal fish",3,46,0,0
"Seals","Small demersal fish",3,47,1,0.1035095
"Seals","Miscellaneous filterfeeding pelagic fish",3,48,0,0
"Seals","Squid & cuttlefish",3,49,0,0
"Seals","Fish larvae",3,50,0,0
"Seals","Carnivorous zooplankton",3,51,0,0
"Seals","Herbivorous & Omnivorous zooplankton (copepods)",3,52,0,0
"Seals","Gelatinous zooplankton",3,53,0,0
"Seals","Large crabs",3,54,0,0
"Seals","Nephrops",3,55,0,0
"Seals","Epifaunal macrobenthos (mobile grazers)",3,56,0,0
"Seals","Infaunal macrobenthos",3,57,0,0
"Seals","Shrimp",3,58,0,0
"Seals","Small mobile epifauna (swarming crustaceans)",3,59,0,0
"Seals","Small infauna (polychaetes)",3,60,0,0
"Seals","Sessile epifauna",3,61,0,0
"Seals","Meiofauna",3,62,0,0
"Seals","Benthic microflora (incl. Bacteria, protozoa))",3,63,0,0
"Seals","Planktonic microflora (incl. Bacteria, protozoa)",3,64,0,0
"Seals","Phytoplankton",3,65,0,0
"Seals","Detritus - DOM -water column",3,66,0,0
"Seals","Detritus - POM - sediment",3,67,0,0
"Seals","Discards",3,68,0,0
"Seabirds",Imports, 4,0,1,0.3366663
"Seabirds","Baleen whales",4,1,0,0
"Seabirds","Toothed whales",4,2,0,0
"Seabirds","Seals",4,3,0,0
"Seabirds","Seabirds",4,4,0,0
"Seabirds","Juvenile sharks",4,5,0,0
"Seabirds","Spurdog",4,6,0,0
"Seabirds","Large piscivorous sharks",4,7,0,0
"Seabirds","Small sharks",4,8,0,0
"Seabirds","Juvenile rays",4,9,0,0
"Seabirds","Starry ray + others",4,10,0,0
"Seabirds","Thornback & Spotted ray",4,11,0,0
"Seabirds","Skate + cuckoo ray",4,12,0,0
"Seabirds","Juvenile Cod(0-2, 0-40cm)",4,13,1,0.00319968
"Seabirds","Cod (adult)",4,14,0,0
"Seabirds","Juvenile Whiting (0-1, 0-20cm)",4,15,1,0.00079992
"Seabirds","Whiting (adult)",4,16,0,0
"Seabirds","Juvenile Haddock (0-1, 0-20cm)",4,17,1,0.00049995
"Seabirds","Haddock (adult)",4,18,0,0
"Seabirds","Juvenile Saithe (0-3, 0-40cm)",4,19,0,0
"Seabirds","Saithe (adult)",4,20,0,0
"Seabirds","Hake",4,21,0,0
"Seabirds","Blue whiting",4,22,0,0
"Seabirds","Norway pout",4,23,0,0
"Seabirds","Other gadoids (large)",4,24,0,0
"Seabirds","Other gadoids (small)",4,25,1,0.00239976
"Seabirds","Monkfish",4,26,0,0
"Seabirds","Gurnards",4,27,0,0
"Seabirds","Herring (juvenile 0, 1)",4,28,1,0.00179982
"Seabirds","Herring (adult)",4,29,1,0.01549845
"Seabirds","Sprat",4,30,1,0.03509649
"Seabirds","Mackerel",4,31,1,0.01549845
"Seabirds","Horse mackerel",4,32,1,0.00709929
"Seabirds","Sandeels",4,33,1,0.230377
"Seabirds","Plaice",4,34,0,0
"Seabirds","Dab",4,35,0,0
"Seabirds","Long-rough dab",4,36,0,0
"Seabirds","Flounder",4,37,0,0
"Seabirds","Sole",4,38,0,0
"Seabirds","Lemon sole",4,39,0,0
"Seabirds","Witch",4,40,0,0
"Seabirds","Turbot and brill",4,41,0,0
"Seabirds","Megrim",4,42,0,0
"Seabirds","Halibut",4,43,0,0
"Seabirds","Dragonets",4,44,0,0
"Seabirds","Catfish (Wolf-fish)",4,45,0,0
"Seabirds","Large demersal fish",4,46,0,0
"Seabirds","Small demersal fish",4,47,0,0
"Seabirds","Miscellaneous filterfeeding pelagic fish",4,48,0,0
"Seabirds","Squid & cuttlefish",4,49,0,0
"Seabirds","Fish larvae",4,50,0,0
"Seabirds","Carnivorous zooplankton",4,51,1,0.04909509
"Seabirds","Herbivorous & Omnivorous zooplankton (copepods)",4,52,1,0.09129088
"Seabirds","Gelatinous zooplankton",4,53,0,0
"Seabirds","Large crabs",4,54,0,0
"Seabirds","Nephrops",4,55,0,0
"Seabirds","Epifaunal macrobenthos (mobile grazers)",4,56,0,0
"Seabirds","Infaunal macrobenthos",4,57,0,0
"Seabirds","Shrimp",4,58,0,0
"Seabirds","Small mobile epifauna (swarming crustaceans)",4,59,0,0
"Seabirds","Small infauna (polychaetes)",4,60,0,0
"Seabirds","Sessile epifauna",4,61,0,0
"Seabirds","Meiofauna",4,62,0,0
"Seabirds","Benthic microflora (incl. Bacteria, protozoa))",4,63,0,0
"Seabirds","Planktonic microflora (incl. Bacteria, protozoa)",4,64,0,0
"Seabirds","Phytoplankton",4,65,0,0
"Seabirds","Detritus - DOM -water column",4,66,0,0
"Seabirds","Detritus - POM - sediment",4,67,0,0
"Seabirds","Discards",4,68,1,0.2106789
"Juvenile sharks",Imports, 5,0,0,0
"Juvenile sharks","Baleen whales",5,1,0,0
"Juvenile sharks","Toothed whales",5,2,0,0
"Juvenile sharks","Seals",5,3,0,0
"Juvenile sharks","Seabirds",5,4,0,0
"Juvenile sharks","Juvenile sharks",5,5,0,0
"Juvenile sharks","Spurdog",5,6,0,0
"Juvenile sharks","Large piscivorous sharks",5,7,0,0
"Juvenile sharks","Small sharks",5,8,0,0
"Juvenile sharks","Juvenile rays",5,9,0,0
"Juvenile sharks","Starry ray + others",5,10,0,0
"Juvenile sharks","Thornback & Spotted ray",5,11,0,0
"Juvenile sharks","Skate + cuckoo ray",5,12,0,0
"Juvenile sharks","Juvenile Cod(0-2, 0-40cm)",5,13,0,0
"Juvenile sharks","Cod (adult)",5,14,0,0
"Juvenile sharks","Juvenile Whiting (0-1, 0-20cm)",5,15,1,0.0004000399
"Juvenile sharks","Whiting (adult)",5,16,1,0.01920192
"Juvenile sharks","Juvenile Haddock (0-1, 0-20cm)",5,17,0,0
"Juvenile sharks","Haddock (adult)",5,18,0,0
"Juvenile sharks","Juvenile Saithe (0-3, 0-40cm)",5,19,0,0
"Juvenile sharks","Saithe (adult)",5,20,0,0
"Juvenile sharks","Hake",5,21,0,0
"Juvenile sharks","Blue whiting",5,22,1,0.00350035
"Juvenile sharks","Norway pout",5,23,1,0.0731073
"Juvenile sharks","Other gadoids (large)",5,24,0,0
"Juvenile sharks","Other gadoids (small)",5,25,1,0.00260026
"Juvenile sharks","Monkfish",5,26,0,0
"Juvenile sharks","Gurnards",5,27,0,0
"Juvenile sharks","Herring (juvenile 0, 1)",5,28,1,0.00050005
"Juvenile sharks","Herring (adult)",5,29,1,0.06260625
"Juvenile sharks","Sprat",5,30,1,0.02310231
"Juvenile sharks","Mackerel",5,31,1,0.01370137
"Juvenile sharks","Horse mackerel",5,32,0,0
"Juvenile sharks","Sandeels",5,33,1,0.01440144
"Juvenile sharks","Plaice",5,34,0,0
"Juvenile sharks","Dab",5,35,1,0.006700669
"Juvenile sharks","Long-rough dab",5,36,0,0
"Juvenile sharks","Flounder",5,37,0,0
"Juvenile sharks","Sole",5,38,0,0
"Juvenile sharks","Lemon sole",5,39,0,0
"Juvenile sharks","Witch",5,40,0,0
"Juvenile sharks","Turbot and brill",5,41,0,0
"Juvenile sharks","Megrim",5,42,0,0
"Juvenile sharks","Halibut",5,43,0,0
"Juvenile sharks","Dragonets",5,44,1,0.0010001
"Juvenile sharks","Catfish (Wolf-fish)",5,45,0,0
"Juvenile sharks","Large demersal fish",5,46,0,0
"Juvenile sharks","Small demersal fish",5,47,1,0.010001
"Juvenile sharks","Miscellaneous filterfeeding pelagic fish",5,48,1,0.00370037
"Juvenile sharks","Squid & cuttlefish",5,49,1,0.01230123
"Juvenile sharks","Fish larvae",5,50,0,0
"Juvenile sharks","Carnivorous zooplankton",5,51,1,0.01990199
"Juvenile sharks","Herbivorous & Omnivorous zooplankton (copepods)",5,52,0,0
"Juvenile sharks","Gelatinous zooplankton",5,53,1,0.02690269
"Juvenile sharks","Large crabs",5,54,1,0.02810281
"Juvenile sharks","Nephrops",5,55,1,0.007400739
"Juvenile sharks","Epifaunal macrobenthos (mobile grazers)",5,56,1,0.3341334
"Juvenile sharks","Infaunal macrobenthos",5,57,1,0.05970597
"Juvenile sharks","Shrimp",5,58,1,0.0781078
"Juvenile sharks","Small mobile epifauna (swarming crustaceans)",5,59,1,0.06910691
"Juvenile sharks","Small infauna (polychaetes)",5,60,1,0.1207121
"Juvenile sharks","Sessile epifauna",5,61,1,0.00860086
"Juvenile sharks","Meiofauna",5,62,1,0.00050005
"Juvenile sharks","Benthic microflora (incl. Bacteria, protozoa))",5,63,0,0
"Juvenile sharks","Planktonic microflora (incl. Bacteria, protozoa)",5,64,0,0
"Juvenile sharks","Phytoplankton",5,65,0,0
"Juvenile sharks","Detritus - DOM -water column",5,66,0,0
"Juvenile sharks","Detritus - POM - sediment",5,67,0,0
"Juvenile sharks","Discards",5,68,0,0
"Spurdog",Imports, 6,0,0,0
"Spurdog","Baleen whales",6,1,0,0
"Spurdog","Toothed whales",6,2,0,0
"Spurdog","Seals",6,3,0,0
"Spurdog","Seabirds",6,4,0,0
"Spurdog","Juvenile sharks",6,5,0,0
"Spurdog","Spurdog",6,6,1,0.02104882
"Spurdog","Large piscivorous sharks",6,7,0,0
"Spurdog","Small sharks",6,8,0,0
"Spurdog","Juvenile rays",6,9,0,0
"Spurdog","Starry ray + others",6,10,0,0
"Spurdog","Thornback & Spotted ray",6,11,0,0
"Spurdog","Skate + cuckoo ray",6,12,0,0
"Spurdog","Juvenile Cod(0-2, 0-40cm)",6,13,0,0
"Spurdog","Cod (adult)",6,14,0,0
"Spurdog","Juvenile Whiting (0-1, 0-20cm)",6,15,1,0.002473236
"Spurdog","Whiting (adult)",6,16,1,0.1188206
"Spurdog","Juvenile Haddock (0-1, 0-20cm)",6,17,1,0.0002546907
"Spurdog","Haddock (adult)",6,18,1,0.006104157
"Spurdog","Juvenile Saithe (0-3, 0-40cm)",6,19,0,0
"Spurdog","Saithe (adult)",6,20,0,0
"Spurdog","Hake",6,21,0,0
"Spurdog","Blue whiting",6,22,1,0.0214698
"Spurdog","Norway pout",6,23,1,0.09892945
"Spurdog","Other gadoids (large)",6,24,0,0
"Spurdog","Other gadoids (small)",6,25,1,0.1317656
"Spurdog","Monkfish",6,26,0,0
"Spurdog","Gurnards",6,27,0,0
"Spurdog","Herring (juvenile 0, 1)",6,28,1,0.001768101
"Spurdog","Herring (adult)",6,29,1,0.1873345
"Spurdog","Sprat",6,30,1,0.04083471
"Spurdog","Mackerel",6,31,1,0.08187991
"Spurdog","Horse mackerel",6,32,1,0.01936491
"Spurdog","Sandeels",6,33,1,0.03862458
"Spurdog","Plaice",6,34,1,0.04746509
"Spurdog","Dab",6,35,1,0.006840867
"Spurdog","Long-rough dab",6,36,0,0
"Spurdog","Flounder",6,37,0,0
"Spurdog","Sole",6,38,0,0
"Spurdog","Lemon sole",6,39,0,0
"Spurdog","Witch",6,40,1,0.006840867
"Spurdog","Turbot and brill",6,41,0,0
"Spurdog","Megrim",6,42,0,0
"Spurdog","Halibut",6,43,0,0
"Spurdog","Dragonets",6,44,1,0.02694249
"Spurdog","Catfish (Wolf-fish)",6,45,0,0
"Spurdog","Large demersal fish",6,46,0,0
"Spurdog","Small demersal fish",6,47,1,0.01062965
"Spurdog","Miscellaneous filterfeeding pelagic fish",6,48,0,0
"Spurdog","Squid & cuttlefish",6,49,1,0.0231537
"Spurdog","Fish larvae",6,50,0,0
"Spurdog","Carnivorous zooplankton",6,51,1,0.005577937
"Spurdog","Herbivorous & Omnivorous zooplankton (copepods)",6,52,0,0
"Spurdog","Gelatinous zooplankton",6,53,1,0.03757214
"Spurdog","Large crabs",6,54,1,0.01399746
"Spurdog","Nephrops",6,55,1,0.0107349
"Spurdog","Epifaunal macrobenthos (mobile grazers)",6,56,1,0.009366725
"Spurdog","Infaunal macrobenthos",6,57,1,0.008314284
"Spurdog","Shrimp",6,58,1,0.02031211
"Spurdog","Small mobile epifauna (swarming crustaceans)",6,59,0,0
"Spurdog","Small infauna (polychaetes)",6,60,1,0.001578661
"Spurdog","Sessile epifauna",6,61,0,0
"Spurdog","Meiofauna",6,62,0,0
"Spurdog","Benthic microflora (incl. Bacteria, protozoa))",6,63,0,0
"Spurdog","Planktonic microflora (incl. Bacteria, protozoa)",6,64,0,0
"Spurdog","Phytoplankton",6,65,0,0
"Spurdog","Detritus - DOM -water column",6,66,0,0
"Spurdog","Detritus - POM - sediment",6,67,0,0
"Spurdog","Discards",6,68,0,0
"Large piscivorous sharks",Imports, 7,0,0,0
"Large piscivorous sharks","Baleen whales",7,1,0,0
"Large piscivorous sharks","Toothed whales",7,2,0,0
"Large piscivorous sharks","Seals",7,3,0,0
"Large piscivorous sharks","Seabirds",7,4,0,0
"Large piscivorous sharks","Juvenile sharks",7,5,1,0.06071215
"Large piscivorous sharks","Spurdog",7,6,1,0.01010202
"Large piscivorous sharks","Large piscivorous sharks",7,7,0,0
"Large piscivorous sharks","Small sharks",7,8,1,0.05061013
"Large piscivorous sharks","Juvenile rays",7,9,1,0.06071215
"Large piscivorous sharks","Starry ray + others",7,10,0,0
"Large piscivorous sharks","Thornback & Spotted ray",7,11,0,0
"Large piscivorous sharks","Skate + cuckoo ray",7,12,0,0
"Large piscivorous sharks","Juvenile Cod(0-2, 0-40cm)",7,13,0,0
"Large piscivorous sharks","Cod (adult)",7,14,0,0
"Large piscivorous sharks","Juvenile Whiting (0-1, 0-20cm)",7,15,0,0
"Large piscivorous sharks","Whiting (adult)",7,16,0,0
"Large piscivorous sharks","Juvenile Haddock (0-1, 0-20cm)",7,17,0,0
"Large piscivorous sharks","Haddock (adult)",7,18,0,0
"Large piscivorous sharks","Juvenile Saithe (0-3, 0-40cm)",7,19,0,0
"Large piscivorous sharks","Saithe (adult)",7,20,0,0
"Large piscivorous sharks","Hake",7,21,0,0
"Large piscivorous sharks","Blue whiting",7,22,0,0
"Large piscivorous sharks","Norway pout",7,23,1,0.1013203
"Large piscivorous sharks","Other gadoids (large)",7,24,0,0
"Large piscivorous sharks","Other gadoids (small)",7,25,1,0.009801961
"Large piscivorous sharks","Monkfish",7,26,0,0
"Large piscivorous sharks","Gurnards",7,27,1,0.04880977
"Large piscivorous sharks","Herring (juvenile 0, 1)",7,28,1,0.0009001801
"Large piscivorous sharks","Herring (adult)",7,29,1,0.1018204
"Large piscivorous sharks","Sprat",7,30,0,0
"Large piscivorous sharks","Mackerel",7,31,1,0.1542309
"Large piscivorous sharks","Horse mackerel",7,32,0,0
"Large piscivorous sharks","Sandeels",7,33,0,0
"Large piscivorous sharks","Plaice",7,34,1,0.06161233
"Large piscivorous sharks","Dab",7,35,1,0.06161233
"Large piscivorous sharks","Long-rough dab",7,36,0,0
"Large piscivorous sharks","Flounder",7,37,0,0
"Large piscivorous sharks","Sole",7,38,0,0
"Large piscivorous sharks","Lemon sole",7,39,0,0
"Large piscivorous sharks","Witch",7,40,0,0
"Large piscivorous sharks","Turbot and brill",7,41,0,0
"Large piscivorous sharks","Megrim",7,42,0,0
"Large piscivorous sharks","Halibut",7,43,0,0
"Large piscivorous sharks","Dragonets",7,44,1,0.05431087
"Large piscivorous sharks","Catfish (Wolf-fish)",7,45,0,0
"Large piscivorous sharks","Large demersal fish",7,46,0,0
"Large piscivorous sharks","Small demersal fish",7,47,1,0.01080216
"Large piscivorous sharks","Miscellaneous filterfeeding pelagic fish",7,48,0,0
"Large piscivorous sharks","Squid & cuttlefish",7,49,1,0.2052411
"Large piscivorous sharks","Fish larvae",7,50,0,0
"Large piscivorous sharks","Carnivorous zooplankton",7,51,0,0
"Large piscivorous sharks","Herbivorous & Omnivorous zooplankton (copepods)",7,52,0,0
"Large piscivorous sharks","Gelatinous zooplankton",7,53,0,0
"Large piscivorous sharks","Large crabs",7,54,0,0
"Large piscivorous sharks","Nephrops",7,55,0,0
"Large piscivorous sharks","Epifaunal macrobenthos (mobile grazers)",7,56,1,0.007401481
"Large piscivorous sharks","Infaunal macrobenthos",7,57,0,0
"Large piscivorous sharks","Shrimp",7,58,0,0
"Large piscivorous sharks","Small mobile epifauna (swarming crustaceans)",7,59,0,0
"Large piscivorous sharks","Small infauna (polychaetes)",7,60,0,0
"Large piscivorous sharks","Sessile epifauna",7,61,0,0
"Large piscivorous sharks","Meiofauna",7,62,0,0
"Large piscivorous sharks","Benthic microflora (incl. Bacteria, protozoa))",7,63,0,0
"Large piscivorous sharks","Planktonic microflora (incl. Bacteria, protozoa)",7,64,0,0
"Large piscivorous sharks","Phytoplankton",7,65,0,0
"Large piscivorous sharks","Detritus - DOM -water column",7,66,0,0
"Large piscivorous sharks","Detritus - POM - sediment",7,67,0,0
"Large piscivorous sharks","Discards",7,68,0,0
"Small sharks",Imports, 8,0,0,0
"Small sharks","Baleen whales",8,1,0,0
"Small sharks","Toothed whales",8,2,0,0
"Small sharks","Seals",8,3,0,0
"Small sharks","Seabirds",8,4,0,0
"Small sharks","Juvenile sharks",8,5,0,0
"Small sharks","Spurdog",8,6,0,0
"Small sharks","Large piscivorous sharks",8,7,0,0
"Small sharks","Small sharks",8,8,0,0
"Small sharks","Juvenile rays",8,9,0,0
"Small sharks","Starry ray + others",8,10,0,0
"Small sharks","Thornback & Spotted ray",8,11,0,0
"Small sharks","Skate + cuckoo ray",8,12,0,0
"Small sharks","Juvenile Cod(0-2, 0-40cm)",8,13,0,0
"Small sharks","Cod (adult)",8,14,0,0
"Small sharks","Juvenile Whiting (0-1, 0-20cm)",8,15,1,0.00010001
"Small sharks","Whiting (adult)",8,16,1,0.00590059
"Small sharks","Juvenile Haddock (0-1, 0-20cm)",8,17,0,0
"Small sharks","Haddock (adult)",8,18,0,0
"Small sharks","Juvenile Saithe (0-3, 0-40cm)",8,19,0,0
"Small sharks","Saithe (adult)",8,20,0,0
"Small sharks","Hake",8,21,0,0
"Small sharks","Blue whiting",8,22,1,0.0740074
"Small sharks","Norway pout",8,23,1,0.02110211
"Small sharks","Other gadoids (large)",8,24,0,0
"Small sharks","Other gadoids (small)",8,25,1,0.01030103
"Small sharks","Monkfish",8,26,0,0
"Small sharks","Gurnards",8,27,1,0.00040004
"Small sharks","Herring (juvenile 0, 1)",8,28,0,0
"Small sharks","Herring (adult)",8,29,1,0.00540054
"Small sharks","Sprat",8,30,1,0.01380138
